0: 0
1: Not Reachable
2: Not Reachable
3: Not Reachable
4: Not Reachable
5: Not Reachable
6: Not Reachable
7: Not Reachable
8: Not Reachable
9: 0 40 9
10: Not Reachable
11: Not Reachable
12: Not Reachable
13: Not Reachable
14: Not Reachable
15: Not Reachable
16: Not Reachable
17: Not Reachable
18: Not Reachable
19: Not Reachable
20: Not Reachable
21: Not Reachable
22: Not Reachable
23: Not Reachable
24: 0 40 24
25: Not Reachable
26: Not Reachable
27: Not Reachable
28: Not Reachable
29: Not Reachable
30: 0 68 30
31: Not Reachable
32: Not Reachable
33: Not Reachable
34: Not Reachable
35: Not Reachable
36: Not Reachable
37: 0 37
38: Not Reachable
39: Not Reachable
40: 0 40
41: Not Reachable
42: Not Reachable
43: Not Reachable
44: Not Reachable
45: Not Reachable
46: Not Reachable
47: Not Reachable
48: Not Reachable
49: Not Reachable
50: Not Reachable
51: 0 51
52: Not Reachable
53: 0 53
54: Not Reachable
55: Not Reachable
56: Not Reachable
57: Not Reachable
58: Not Reachable
59: Not Reachable
60: Not Reachable
61: Not Reachable
62: Not Reachable
63: Not Reachable
64: Not Reachable
65: Not Reachable
66: Not Reachable
67: Not Reachable
68: 0 68
69: Not Reachable
70: Not Reachable
71: Not Reachable
72: Not Reachable
73: Not Reachable
74: Not Reachable
75: Not Reachable
76: Not Reachable
77: Not Reachable
78: Not Reachable
79: Not Reachable
80: Not Reachable
81: Not Reachable
82: Not Reachable
83: 0 40 83
84: Not Reachable
85: Not Reachable
86: Not Reachable
87: Not Reachable
88: Not Reachable
89: Not Reachable
90: Not Reachable
91: Not Reachable
92: Not Reachable
93: Not Reachable
94: Not Reachable
95: Not Reachable
96: 0 96
97: Not Reachable
98: Not Reachable
99: Not Reachable
